               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10968,             0.12906,            0.025779,          0.00067906,            0.016644,          0.00036326,          6.4211e-05,            0.099335,             0.12998,            0.023257,            0.070857,           0.0032381,           0.0032381
                   1,             0.10052,             0.15026,            0.022026,           0.0026337,            0.044383,           0.0015306,          0.00039425,            0.097107,             0.13377,            0.018896,            0.040814,           0.0065281,           0.0065281
                   2,            0.092056,             0.14261,            0.018941,            0.013464,             0.27341,            0.017889,           0.0041022,            0.088873,             0.12494,            0.015739,            0.010726,            0.009774,            0.009774
                   3,            0.087982,             0.14054,            0.016502,             0.57965,            0.092926,            0.047482,            0.016965,            0.080445,             0.12668,            0.012869,            0.009802,            0.009802,            0.009802
                   4,             0.08465,             0.14252,            0.016609,              0.5846,             0.11913,            0.059479,            0.022556,            0.077065,              0.1282,             0.01233,            0.009802,            0.009802,            0.009802
                   5,             0.07979,             0.14425,            0.015444,             0.58476,             0.15049,            0.068863,             0.02798,            0.074451,             0.13017,            0.011623,            0.009736,            0.009736,            0.009736
                   6,            0.076483,             0.14355,             0.01742,             0.59503,             0.17453,            0.078253,            0.032137,            0.072879,             0.12929,            0.012081,             0.00967,             0.00967,             0.00967
                   7,            0.075508,              0.1435,             0.01587,             0.60259,             0.12344,             0.07834,            0.035076,            0.070491,             0.13768,            0.012897,            0.009604,            0.009604,            0.009604
                   8,            0.072981,             0.14339,            0.014897,             0.60842,             0.15257,            0.084498,            0.038718,            0.069499,             0.13186,            0.010966,            0.009538,            0.009538,            0.009538
                   9,             0.07303,             0.14329,            0.014125,             0.61278,             0.18724,             0.10086,            0.041972,            0.070805,             0.12864,            0.010743,            0.009472,            0.009472,            0.009472
                  10,            0.072804,              0.1486,             0.01444,             0.61484,             0.14216,            0.099506,            0.047267,            0.068131,             0.13396,            0.011766,            0.009406,            0.009406,            0.009406
                  11,            0.071515,             0.14251,            0.013029,             0.64624,             0.13731,             0.11942,            0.059662,            0.066329,             0.14432,            0.014653,             0.00934,             0.00934,             0.00934
                  12,            0.070818,             0.14296,            0.013527,             0.64183,             0.18897,             0.14585,            0.064335,            0.066512,              0.1337,            0.011893,            0.009274,            0.009274,            0.009274
                  13,            0.070434,             0.13943,             0.01284,             0.60879,             0.16401,             0.11487,            0.054065,            0.066556,              0.1365,            0.011433,            0.009208,            0.009208,            0.009208
                  14,            0.070098,             0.13945,            0.012474,             0.69373,             0.20945,             0.21477,             0.10293,            0.064264,             0.13059,           0.0085964,            0.009142,            0.009142,            0.009142
                  15,            0.069356,             0.13272,            0.010849,             0.19767,             0.25114,             0.14735,            0.065268,            0.065921,             0.13423,            0.016038,            0.009076,            0.009076,            0.009076
                  16,            0.068847,             0.13467,            0.010096,             0.36069,             0.27462,             0.24398,              0.1124,            0.065145,              0.1284,            0.011708,             0.00901,             0.00901,             0.00901
                  17,            0.068176,             0.12538,           0.0091337,             0.44064,             0.42618,             0.41955,             0.19688,             0.06309,             0.10665,           0.0053833,            0.008944,            0.008944,            0.008944
                  18,            0.067671,              0.1282,           0.0083628,             0.50214,             0.44417,             0.44365,             0.20132,             0.06272,             0.10843,           0.0055386,            0.008878,            0.008878,            0.008878
                  19,            0.069361,             0.12041,           0.0076098,             0.41595,             0.40328,              0.3609,              0.1696,            0.062689,             0.11423,           0.0061712,            0.008812,            0.008812,            0.008812
                  20,            0.067961,             0.11885,           0.0064853,             0.54699,             0.42237,             0.45723,             0.19055,            0.064358,             0.10774,           0.0051695,            0.008746,            0.008746,            0.008746
                  21,            0.067095,             0.12115,           0.0061337,             0.60854,             0.52018,             0.53318,             0.23249,            0.062657,             0.10037,           0.0039504,             0.00868,             0.00868,             0.00868
                  22,            0.067066,             0.11621,           0.0051297,             0.51253,             0.52824,             0.54114,             0.23984,            0.062068,             0.10338,           0.0072533,            0.008614,            0.008614,            0.008614
                  23,            0.067027,              0.1162,           0.0051292,              0.4615,             0.38065,              0.3828,             0.15867,            0.066195,             0.11835,           0.0085892,            0.008548,            0.008548,            0.008548
                  24,            0.066765,             0.11321,           0.0053115,             0.64656,             0.35537,             0.44163,              0.2027,            0.063287,             0.11824,           0.0069078,            0.008482,            0.008482,            0.008482
                  25,            0.065061,             0.11367,           0.0054316,             0.73511,             0.59696,             0.66733,             0.31112,            0.059227,            0.093571,           0.0030448,            0.008416,            0.008416,            0.008416
                  26,            0.065209,             0.10789,           0.0044607,             0.58163,             0.47201,             0.50935,             0.23925,            0.061859,             0.10114,           0.0047607,             0.00835,             0.00835,             0.00835
                  27,            0.064916,             0.10474,           0.0045658,             0.64037,             0.49961,             0.59815,             0.29788,            0.058847,            0.097561,           0.0029887,            0.008284,            0.008284,            0.008284
                  28,            0.065311,             0.10648,           0.0040288,              0.7491,             0.58492,             0.68626,             0.33846,            0.058759,            0.085934,           0.0027103,            0.008218,            0.008218,            0.008218
                  29,            0.063904,             0.10336,           0.0039295,              0.7317,             0.57354,             0.65161,             0.33323,            0.058897,            0.088238,           0.0023854,            0.008152,            0.008152,            0.008152
                  30,            0.064457,             0.10119,           0.0038129,             0.63739,             0.59209,             0.63077,             0.29906,            0.061186,             0.08683,           0.0029271,            0.008086,            0.008086,            0.008086
                  31,            0.062638,             0.09793,           0.0038402,              0.7464,             0.57095,             0.68612,             0.33263,            0.059603,            0.085428,           0.0027206,             0.00802,             0.00802,             0.00802
                  32,            0.063066,            0.099225,           0.0039067,             0.70822,              0.5741,             0.65394,             0.32103,              0.0597,            0.089968,           0.0026057,            0.007954,            0.007954,            0.007954
                  33,             0.06214,             0.10444,           0.0035076,             0.75097,             0.59087,             0.70672,             0.33926,            0.059989,            0.083364,           0.0020209,            0.007888,            0.007888,            0.007888
                  34,            0.062446,            0.090491,           0.0035251,             0.72626,             0.61787,             0.69359,             0.33654,            0.058317,            0.088991,           0.0017835,            0.007822,            0.007822,            0.007822
                  35,            0.063483,            0.093099,           0.0029761,             0.74588,             0.57287,             0.66527,             0.33681,             0.05894,             0.08819,           0.0020591,            0.007756,            0.007756,            0.007756
                  36,             0.06212,            0.098455,           0.0029909,             0.75271,             0.60358,             0.70271,             0.34021,            0.058386,             0.08773,           0.0019929,             0.00769,             0.00769,             0.00769
                  37,            0.061973,             0.09313,           0.0031538,             0.75669,              0.6365,               0.732,             0.37753,             0.05697,            0.088558,           0.0019084,            0.007624,            0.007624,            0.007624
                  38,            0.061195,            0.093756,           0.0025405,             0.79456,             0.62326,             0.74406,              0.3749,            0.057404,            0.082085,           0.0016429,            0.007558,            0.007558,            0.007558
                  39,            0.060793,            0.091803,            0.002641,             0.78234,             0.70178,             0.78127,              0.3822,            0.057833,            0.074554,           0.0016089,            0.007492,            0.007492,            0.007492
                  40,            0.060901,            0.089044,           0.0027675,             0.81731,             0.68094,             0.78745,             0.40004,            0.055968,            0.072313,           0.0016262,            0.007426,            0.007426,            0.007426
                  41,            0.061265,            0.092072,           0.0025176,             0.82678,             0.66112,             0.77546,             0.38626,            0.056636,            0.076466,           0.0016252,             0.00736,             0.00736,             0.00736
                  42,             0.06115,            0.092322,           0.0024467,             0.80985,             0.60615,             0.74166,             0.38314,            0.056106,            0.080709,           0.0017337,            0.007294,            0.007294,            0.007294
                  43,            0.059308,            0.085373,           0.0024672,              0.8324,             0.64139,             0.76125,             0.39617,            0.055513,             0.07954,           0.0014378,            0.007228,            0.007228,            0.007228
                  44,            0.060697,            0.087057,           0.0028415,             0.77674,             0.64241,             0.73648,             0.37669,            0.056075,            0.080974,           0.0017863,            0.007162,            0.007162,            0.007162
                  45,            0.060324,            0.084093,           0.0025481,             0.81932,             0.66907,             0.78195,             0.40514,            0.056422,            0.072564,           0.0014321,            0.007096,            0.007096,            0.007096
                  46,            0.060483,            0.088705,           0.0019048,             0.84613,             0.71017,             0.81379,              0.4244,            0.054891,            0.071703,           0.0014208,             0.00703,             0.00703,             0.00703
                  47,            0.059011,            0.086359,            0.002349,             0.84449,             0.72581,             0.80893,             0.41468,            0.055072,             0.07336,           0.0011698,            0.006964,            0.006964,            0.006964
                  48,            0.059604,            0.086319,           0.0019606,             0.81935,             0.71032,             0.81799,             0.42807,            0.054051,            0.071069,           0.0011552,            0.006898,            0.006898,            0.006898
                  49,            0.059346,             0.08346,           0.0020553,             0.75594,               0.617,             0.69846,             0.35522,            0.056571,            0.084801,           0.0021805,            0.006832,            0.006832,            0.006832
                  50,            0.058053,            0.083617,           0.0020621,             0.84987,             0.69741,              0.8139,             0.42914,            0.055088,             0.07019,          0.00093517,            0.006766,            0.006766,            0.006766
                  51,            0.058873,            0.080752,           0.0019892,             0.85579,             0.74491,             0.84422,             0.45022,            0.054158,            0.069226,           0.0011131,              0.0067,              0.0067,              0.0067
                  52,            0.058048,            0.084044,           0.0017796,             0.84227,             0.76264,             0.84346,             0.45818,            0.053137,            0.069399,           0.0011994,            0.006634,            0.006634,            0.006634
                  53,            0.057698,            0.081341,           0.0020637,             0.81879,             0.73717,             0.81121,             0.42861,            0.053551,            0.071443,           0.0012422,            0.006568,            0.006568,            0.006568
