               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.062999,            0.096921,             0.00271,             0.72735,             0.63408,             0.70055,              0.3501,            0.057735,            0.080793,           0.0016942,             0.00769,             0.00769,             0.00769
                  37,            0.061771,            0.092442,           0.0028098,             0.77303,             0.66658,             0.73977,             0.36244,            0.058537,            0.084122,           0.0015428,            0.007624,            0.007624,            0.007624
                  38,            0.061795,             0.09345,           0.0023805,             0.78555,             0.62491,             0.73677,             0.37296,             0.05681,             0.08344,           0.0014503,            0.007558,            0.007558,            0.007558
                  39,            0.060771,            0.090994,           0.0024864,             0.80531,             0.68529,             0.78094,             0.39983,            0.056272,            0.076323,           0.0014182,            0.007492,            0.007492,            0.007492
                  40,            0.061153,             0.08878,           0.0026154,             0.81812,             0.70934,             0.80351,              0.4128,            0.055464,              0.0746,            0.001577,            0.007426,            0.007426,            0.007426
                  41,            0.060853,            0.091834,           0.0022091,             0.76915,             0.65363,             0.74846,             0.37608,            0.056176,            0.075665,           0.0015718,             0.00736,             0.00736,             0.00736
                  42,            0.061462,            0.091612,           0.0022859,             0.81751,             0.67958,             0.77885,             0.40348,            0.056899,              0.0792,           0.0015076,            0.007294,            0.007294,            0.007294
                  43,             0.05985,            0.084338,           0.0021978,             0.82754,             0.70326,             0.80642,              0.4217,            0.055043,            0.072419,           0.0012564,            0.007228,            0.007228,            0.007228
                  44,            0.060409,            0.086405,           0.0024671,             0.79609,              0.6655,             0.78393,             0.38405,            0.058149,            0.077819,           0.0013463,            0.007162,            0.007162,            0.007162
                  45,            0.060702,            0.083646,           0.0025382,              0.8012,             0.75833,             0.81766,             0.42129,            0.055632,            0.073271,           0.0011808,            0.007096,            0.007096,            0.007096
                  46,            0.060594,            0.088416,           0.0018617,              0.7152,             0.45075,             0.56781,             0.29119,            0.059311,             0.10803,           0.0054518,             0.00703,             0.00703,             0.00703
                  47,            0.059136,            0.085992,           0.0022268,             0.82823,             0.73491,             0.81633,             0.42231,            0.054556,            0.071117,           0.0010215,            0.006964,            0.006964,            0.006964
                  48,            0.059072,            0.085556,           0.0017359,             0.64457,               0.528,             0.59159,             0.30579,            0.058489,            0.098942,           0.0025229,            0.006898,            0.006898,            0.006898
                  49,            0.058961,             0.08366,           0.0019307,             0.57726,             0.40145,             0.46114,             0.22059,            0.061306,             0.11735,           0.0053974,            0.006832,            0.006832,            0.006832
                  50,             0.05891,            0.083443,           0.0020698,             0.84332,             0.69861,             0.81491,             0.42493,             0.05446,            0.070763,           0.0010595,            0.006766,            0.006766,            0.006766
                  51,            0.058878,            0.080656,           0.0018162,             0.82882,             0.73929,             0.82749,             0.43341,            0.054128,            0.070292,           0.0011131,              0.0067,              0.0067,              0.0067
                  52,            0.058577,              0.0837,           0.0016973,             0.81886,             0.73683,             0.82796,             0.43051,            0.054126,            0.070417,           0.0012485,            0.006634,            0.006634,            0.006634
                  53,             0.05848,            0.080535,           0.0019697,             0.79308,             0.71618,             0.79478,             0.39512,            0.055118,            0.075615,           0.0012217,            0.006568,            0.006568,            0.006568
                  54,            0.057994,            0.081948,            0.001869,              0.8258,             0.75739,             0.82428,             0.43577,            0.053636,            0.073029,           0.0010124,            0.006502,            0.006502,            0.006502
                  55,            0.058758,             0.07874,            0.001555,             0.81886,             0.76991,             0.83665,             0.44019,            0.054136,            0.068217,          0.00088484,            0.006436,            0.006436,            0.006436
                  56,            0.057342,            0.082769,           0.0016947,             0.84961,             0.71928,              0.8291,             0.43462,            0.053735,            0.070745,          0.00086412,             0.00637,             0.00637,             0.00637
                  57,            0.057299,            0.081333,           0.0016201,             0.83549,              0.7705,             0.85443,             0.44596,            0.055764,            0.066811,          0.00089216,            0.006304,            0.006304,            0.006304
                  58,            0.057124,            0.080571,           0.0015394,             0.85292,             0.77766,             0.86164,             0.46194,            0.053188,            0.067741,          0.00095398,            0.006238,            0.006238,            0.006238
                  59,            0.057311,            0.075963,           0.0012994,             0.86279,             0.80291,             0.87938,             0.46599,            0.052592,             0.06601,            0.000876,            0.006172,            0.006172,            0.006172
                  60,            0.057581,            0.076642,           0.0018729,             0.80729,             0.63986,             0.76315,              0.3972,            0.055146,            0.080698,           0.0012723,            0.006106,            0.006106,            0.006106
                  61,            0.056483,            0.078278,            0.001486,              0.8709,             0.70104,             0.83423,             0.44146,            0.053204,            0.071559,             0.00105,             0.00604,             0.00604,             0.00604
                  62,               0.057,             0.07446,           0.0013716,              0.6242,             0.47008,             0.54166,             0.26912,            0.058005,             0.10698,           0.0026361,            0.005974,            0.005974,            0.005974
                  63,            0.057535,            0.074153,           0.0011787,             0.54376,               0.489,             0.53234,             0.26338,            0.059103,             0.12017,           0.0027674,            0.005908,            0.005908,            0.005908
                  64,            0.055643,            0.076428,           0.0013656,             0.86029,             0.73078,             0.84353,             0.46036,            0.052897,             0.06871,          0.00077977,            0.005842,            0.005842,            0.005842
                  65,             0.05647,            0.080864,           0.0013082,             0.84482,             0.77493,             0.84147,             0.45566,            0.052934,            0.065789,          0.00077655,            0.005776,            0.005776,            0.005776
                  66,            0.056488,            0.078767,           0.0018386,             0.85525,             0.78079,             0.85914,             0.46159,             0.05212,            0.066671,          0.00080233,             0.00571,             0.00571,             0.00571
                  67,            0.055961,            0.078049,           0.0013358,             0.86067,             0.78045,             0.86527,             0.48075,            0.051838,            0.065365,          0.00084445,            0.005644,            0.005644,            0.005644
                  68,             0.05602,            0.075851,           0.0013801,             0.85965,             0.79408,             0.86463,             0.46513,            0.052273,            0.067596,          0.00086775,            0.005578,            0.005578,            0.005578
                  69,            0.056093,            0.074826,           0.0012861,             0.82917,             0.73653,             0.82778,             0.44665,            0.052499,            0.071675,           0.0010116,            0.005512,            0.005512,            0.005512
                  70,             0.05515,             0.07316,           0.0011549,              0.8788,             0.76389,             0.86574,             0.46328,            0.052569,            0.066742,          0.00070554,            0.005446,            0.005446,            0.005446
                  71,            0.055028,            0.071261,           0.0013265,             0.86332,             0.78938,             0.86979,             0.48168,            0.051576,            0.064627,          0.00065503,             0.00538,             0.00538,             0.00538
                  72,            0.056227,             0.07527,           0.0012683,             0.87372,             0.73731,             0.85469,             0.46962,            0.052349,            0.067427,          0.00067564,            0.005314,            0.005314,            0.005314
                  73,            0.056029,            0.072787,          0.00098258,             0.85595,             0.78703,             0.86958,             0.48498,             0.05157,            0.064471,          0.00062187,            0.005248,            0.005248,            0.005248
                  74,            0.055227,            0.074338,           0.0012356,             0.87302,             0.76525,             0.87063,              0.4768,            0.051799,            0.064579,          0.00062236,            0.005182,            0.005182,            0.005182
                  75,            0.054236,            0.072459,           0.0011548,             0.86631,             0.78091,             0.86345,             0.48543,            0.051392,            0.066406,          0.00064976,            0.005116,            0.005116,            0.005116
                  76,            0.055439,            0.072404,           0.0011176,             0.88082,             0.76773,             0.86418,             0.48626,            0.050988,            0.064185,          0.00059947,             0.00505,             0.00505,             0.00505
                  77,            0.054632,            0.075358,           0.0014345,             0.85465,             0.77965,             0.85862,             0.47291,            0.051736,            0.064438,          0.00069211,            0.004984,            0.004984,            0.004984
                  78,             0.05442,            0.072482,           0.0012372,             0.84921,             0.80586,             0.87299,             0.49111,            0.051558,            0.064523,          0.00070715,            0.004918,            0.004918,            0.004918
                  79,            0.054076,            0.071291,           0.0010982,             0.84279,             0.75972,             0.85418,             0.45932,            0.051785,            0.067985,           0.0007796,            0.004852,            0.004852,            0.004852
                  80,             0.05361,            0.068428,          0.00093772,             0.86293,             0.81697,             0.87933,             0.48043,            0.051861,            0.063332,          0.00061659,            0.004786,            0.004786,            0.004786
                  81,            0.054527,            0.072052,           0.0011745,             0.87652,             0.80992,             0.87139,             0.48308,            0.051546,            0.063311,          0.00069394,             0.00472,             0.00472,             0.00472
                  82,            0.054006,            0.071801,           0.0012509,             0.86737,             0.80454,             0.87063,             0.49168,            0.050641,            0.063656,          0.00067239,            0.004654,            0.004654,            0.004654
                  83,             0.05458,            0.071661,           0.0011184,             0.82733,             0.75864,             0.81796,             0.44924,            0.052017,            0.069746,          0.00083029,            0.004588,            0.004588,            0.004588
                  84,            0.054266,            0.072372,          0.00097094,             0.86699,             0.79838,              0.8763,             0.46906,            0.051929,            0.063969,          0.00057204,            0.004522,            0.004522,            0.004522
                  85,            0.053507,            0.070998,           0.0011769,             0.86559,             0.80672,             0.87751,             0.48558,            0.050977,            0.062814,          0.00066377,            0.004456,            0.004456,            0.004456
                  86,            0.053167,            0.070079,          0.00089628,             0.86653,             0.82407,             0.87964,             0.49835,            0.050454,            0.062343,          0.00066129,             0.00439,             0.00439,             0.00439
                  87,            0.053534,            0.068861,          0.00090493,             0.88126,             0.81881,             0.87944,             0.48934,            0.050773,            0.063326,           0.0006683,            0.004324,            0.004324,            0.004324
                  88,            0.054198,            0.074956,           0.0010205,             0.88269,             0.81352,             0.88822,             0.50261,            0.050544,            0.062593,          0.00060713,            0.004258,            0.004258,            0.004258
                  89,            0.054186,            0.075561,          0.00099669,             0.89061,              0.8036,             0.90082,             0.51006,            0.050411,            0.062551,           0.0005877,            0.004192,            0.004192,            0.004192
                  90,            0.053634,            0.070676,          0.00095828,              0.8709,             0.80144,             0.88133,             0.50387,            0.050172,            0.063421,          0.00062424,            0.004126,            0.004126,            0.004126
                  91,            0.053043,            0.071776,          0.00086484,             0.86241,             0.83335,             0.89051,             0.50031,            0.050278,             0.06204,          0.00056803,             0.00406,             0.00406,             0.00406
                  92,            0.052632,            0.073113,          0.00091566,             0.86723,             0.83814,             0.89407,             0.50556,            0.050231,            0.061536,          0.00056238,            0.003994,            0.003994,            0.003994
                  93,              0.0537,            0.072264,          0.00090998,             0.87185,             0.83649,             0.89438,             0.51407,            0.049928,            0.061075,          0.00053655,            0.003928,            0.003928,            0.003928
                  94,             0.05303,            0.069008,          0.00082761,             0.83765,             0.83259,             0.88622,             0.49707,            0.050104,            0.062224,           0.0005441,            0.003862,            0.003862,            0.003862
                  95,              0.0533,            0.070336,          0.00078542,             0.88151,             0.80395,             0.88603,             0.49889,            0.050292,            0.061614,          0.00053639,            0.003796,            0.003796,            0.003796
                  96,            0.052434,            0.066551,          0.00089671,              0.8896,             0.82597,             0.90286,             0.50886,            0.050336,            0.061429,          0.00045685,             0.00373,             0.00373,             0.00373
                  97,            0.052497,            0.069774,          0.00081992,             0.85682,             0.85009,             0.90028,             0.51396,            0.050277,            0.061981,          0.00051101,            0.003664,            0.003664,            0.003664
                  98,            0.052274,            0.066715,          0.00082047,             0.88629,             0.84501,             0.89445,             0.51572,            0.049773,            0.061505,          0.00044152,            0.003598,            0.003598,            0.003598
                  99,            0.052942,            0.072546,          0.00076076,             0.87209,             0.83032,             0.89455,             0.50801,            0.049966,            0.062278,          0.00050768,            0.003532,            0.003532,            0.003532
                 100,             0.05255,            0.070499,          0.00080891,             0.87175,             0.82817,             0.88649,              0.5104,            0.050044,            0.061637,          0.00044627,            0.003466,            0.003466,            0.003466
                 101,            0.052091,            0.070117,          0.00087369,             0.87447,             0.81759,             0.89177,             0.52007,            0.049687,            0.060896,          0.00038343,              0.0034,              0.0034,              0.0034
                 102,            0.052106,            0.068138,          0.00079581,               0.894,             0.83449,             0.89905,             0.52312,            0.049744,            0.060666,          0.00039133,            0.003334,            0.003334,            0.003334
                 103,            0.051844,            0.069129,          0.00069623,             0.88198,             0.83539,             0.90167,             0.51899,            0.049354,            0.060685,          0.00049589,            0.003268,            0.003268,            0.003268
                 104,            0.051653,            0.068292,          0.00079533,             0.86963,              0.8465,             0.88859,             0.51554,            0.049616,            0.060454,           0.0004415,            0.003202,            0.003202,            0.003202
                 105,            0.051962,            0.065543,          0.00083466,              0.8709,             0.83571,              0.8927,             0.51704,            0.049688,            0.061584,          0.00048407,            0.003136,            0.003136,            0.003136
                 106,            0.051633,            0.068328,          0.00067035,             0.89059,             0.82373,             0.89766,             0.52018,            0.049442,            0.061619,          0.00047455,             0.00307,             0.00307,             0.00307
                 107,            0.052067,            0.071855,          0.00065029,             0.88556,             0.81817,              0.8917,             0.51518,            0.049592,            0.062185,          0.00043223,            0.003004,            0.003004,            0.003004
                 108,            0.051854,            0.066056,          0.00078572,             0.88732,             0.83431,              0.9008,             0.51671,            0.049476,            0.060678,          0.00044322,            0.002938,            0.002938,            0.002938
