               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.059981,              0.1003,            0.002961,             0.79013,             0.66445,             0.77601,              0.4095,            0.054832,            0.080074,            0.001766,             0.00769,             0.00769,             0.00769
                  37,            0.059416,            0.095712,           0.0033651,             0.84165,             0.72505,             0.80126,             0.40898,            0.055039,            0.077654,           0.0014437,            0.007624,            0.007624,            0.007624
                  38,            0.058385,            0.095589,           0.0026886,             0.80865,             0.64527,             0.73626,              0.3944,            0.056279,            0.088303,            0.001703,            0.007558,            0.007558,            0.007558
                  39,            0.058113,            0.093389,            0.002782,             0.80928,             0.69368,             0.77691,             0.40766,            0.053997,            0.084981,           0.0013442,            0.007492,            0.007492,            0.007492
                  40,            0.058028,            0.090962,           0.0028913,             0.81362,             0.74455,             0.80206,             0.43103,             0.05365,            0.078258,           0.0015987,            0.007426,            0.007426,            0.007426
                  41,            0.058266,            0.093625,           0.0023689,             0.85879,             0.70668,             0.81234,             0.44339,            0.053189,            0.077824,           0.0015314,             0.00736,             0.00736,             0.00736
                  42,            0.058131,            0.094992,           0.0027117,             0.79874,             0.73246,             0.79861,             0.43558,            0.052873,            0.077412,           0.0014987,            0.007294,            0.007294,            0.007294
                  43,            0.056647,            0.086446,           0.0024957,             0.86862,              0.7174,             0.83403,             0.45949,            0.052789,            0.073375,           0.0016061,            0.007228,            0.007228,            0.007228
                  44,            0.058329,            0.088409,           0.0025355,             0.85115,             0.74385,             0.84705,             0.44912,             0.05318,            0.072865,           0.0017611,            0.007162,            0.007162,            0.007162
                  45,            0.057351,            0.085137,           0.0026448,             0.84954,             0.74416,             0.82704,             0.43347,            0.053058,            0.073963,           0.0014141,            0.007096,            0.007096,            0.007096
                  46,            0.057313,            0.089978,           0.0020952,              0.8116,             0.62602,             0.74377,             0.38873,            0.054394,            0.088264,           0.0028267,             0.00703,             0.00703,             0.00703
                  47,            0.055818,            0.087798,           0.0024413,             0.84717,             0.69643,             0.79365,             0.40723,            0.053235,            0.079178,           0.0014369,            0.006964,            0.006964,            0.006964
                  48,            0.056799,            0.086972,           0.0020984,             0.83506,             0.67195,             0.80977,             0.43781,            0.052138,            0.079946,           0.0011285,            0.006898,            0.006898,            0.006898
                  49,             0.05656,            0.083856,           0.0022886,             0.89225,             0.76044,             0.85708,             0.47788,            0.051357,            0.070902,           0.0010404,            0.006832,            0.006832,            0.006832
                  50,            0.055603,            0.083884,           0.0020499,             0.87071,             0.78113,             0.86571,             0.48587,            0.051511,            0.069389,          0.00090978,            0.006766,            0.006766,            0.006766
                  51,            0.055605,            0.081438,           0.0021577,             0.88402,             0.79669,             0.87874,              0.4873,            0.051825,             0.06832,          0.00092688,              0.0067,              0.0067,              0.0067
                  52,            0.055004,            0.084802,           0.0020599,             0.86599,              0.7758,             0.85774,             0.49357,            0.050606,            0.069804,           0.0011681,            0.006634,            0.006634,            0.006634
                  53,            0.055455,            0.082106,           0.0020046,             0.90645,             0.76272,              0.8703,             0.48006,            0.050775,            0.070245,           0.0010563,            0.006568,            0.006568,            0.006568
                  54,            0.054588,            0.082817,           0.0019316,             0.87799,             0.79722,             0.87004,             0.48406,            0.051056,            0.068654,           0.0010647,            0.006502,            0.006502,            0.006502
                  55,            0.055634,            0.079422,            0.001958,             0.89264,             0.78894,             0.87169,             0.48453,            0.050899,            0.069999,           0.0010792,            0.006436,            0.006436,            0.006436
                  56,            0.054376,            0.083138,           0.0020851,             0.89332,             0.80174,             0.88064,             0.49304,            0.051237,            0.066571,          0.00079145,             0.00637,             0.00637,             0.00637
                  57,            0.054485,            0.082009,           0.0018281,             0.88268,             0.75975,             0.84502,             0.45707,            0.053756,            0.070517,           0.0010066,            0.006304,            0.006304,            0.006304
                  58,            0.054404,            0.080151,           0.0017407,             0.90364,             0.79251,             0.87951,             0.48935,            0.051089,            0.069421,           0.0010685,            0.006238,            0.006238,            0.006238
                  59,            0.054328,            0.076158,           0.0016014,             0.87561,             0.78509,             0.87212,              0.4891,            0.051197,            0.067899,           0.0011139,            0.006172,            0.006172,            0.006172
                  60,            0.054414,            0.075962,           0.0020982,             0.88306,             0.76962,             0.87109,             0.48867,            0.050037,            0.067525,          0.00090613,            0.006106,            0.006106,            0.006106
                  61,            0.054263,            0.078842,           0.0015167,             0.88321,              0.7947,             0.87845,             0.49713,            0.049881,            0.065475,          0.00073998,             0.00604,             0.00604,             0.00604
                  62,            0.053885,             0.07413,           0.0013859,             0.89354,             0.81815,             0.89381,             0.50188,            0.050912,            0.065253,          0.00070381,            0.005974,            0.005974,            0.005974
                  63,            0.054226,            0.074544,           0.0013502,             0.89543,              0.8085,             0.88482,             0.50754,            0.049974,            0.066286,          0.00076876,            0.005908,            0.005908,            0.005908
                  64,             0.05321,            0.077816,            0.001725,             0.88798,             0.80196,             0.88573,              0.4971,            0.049465,            0.067257,           0.0011345,            0.005842,            0.005842,            0.005842
                  65,            0.053109,            0.080323,           0.0014402,             0.92189,             0.81763,             0.90348,             0.51804,            0.049649,            0.063616,          0.00076997,            0.005776,            0.005776,            0.005776
                  66,            0.053173,            0.078386,            0.001672,             0.90249,             0.82479,              0.8983,              0.5193,            0.049858,            0.063835,          0.00067918,             0.00571,             0.00571,             0.00571
                  67,             0.05276,             0.07764,           0.0014105,             0.91842,             0.80902,             0.89255,             0.51129,            0.049225,            0.066154,          0.00065303,            0.005644,            0.005644,            0.005644
                  68,            0.052528,            0.074848,           0.0013826,             0.90515,             0.82427,             0.89681,             0.50905,            0.049756,            0.064955,          0.00070131,            0.005578,            0.005578,            0.005578
                  69,            0.053716,            0.074425,           0.0014315,             0.92062,             0.79186,             0.89495,             0.51919,            0.049239,            0.063944,          0.00062947,            0.005512,            0.005512,            0.005512
                  70,            0.052433,            0.072481,           0.0013335,             0.90382,             0.81838,             0.90685,             0.51782,            0.049044,            0.064665,           0.0005686,            0.005446,            0.005446,            0.005446
                  71,            0.052136,            0.070661,           0.0014498,                0.91,              0.8327,             0.91388,             0.52626,            0.049234,            0.062581,           0.0006963,             0.00538,             0.00538,             0.00538
                  72,            0.052754,            0.074498,           0.0014597,             0.92479,             0.84648,             0.92042,             0.52903,            0.049766,            0.062463,          0.00068116,            0.005314,            0.005314,            0.005314
                  73,             0.05234,            0.072556,           0.0010512,             0.91612,             0.85281,             0.91766,             0.52761,            0.048409,            0.063538,          0.00067515,            0.005248,            0.005248,            0.005248
                  74,            0.051914,             0.07389,            0.001359,             0.88517,             0.82824,             0.90938,             0.52803,            0.048959,            0.064437,          0.00080051,            0.005182,            0.005182,            0.005182
                  75,             0.05146,            0.071985,             0.00134,             0.92216,              0.8121,              0.9009,             0.52501,            0.049023,            0.067304,          0.00069537,            0.005116,            0.005116,            0.005116
                  76,             0.05215,            0.071405,           0.0011949,             0.91217,             0.84373,             0.91265,             0.53355,            0.049018,            0.062351,          0.00055711,             0.00505,             0.00505,             0.00505
                  77,            0.052091,             0.07498,           0.0014784,             0.88905,             0.83433,             0.90747,             0.53018,             0.04834,            0.063485,          0.00057991,            0.004984,            0.004984,            0.004984
                  78,            0.051207,            0.071566,           0.0012962,             0.90687,             0.86592,              0.9157,             0.52966,            0.049091,            0.062707,          0.00064859,            0.004918,            0.004918,            0.004918
                  79,            0.050749,            0.069975,           0.0011137,             0.91556,             0.84161,             0.91865,             0.53744,            0.048548,            0.062633,          0.00055249,            0.004852,            0.004852,            0.004852
                  80,            0.051059,            0.067568,           0.0011145,             0.91132,             0.86278,             0.92123,             0.54615,            0.048498,            0.061495,          0.00053952,            0.004786,            0.004786,            0.004786
                  81,            0.050645,            0.071854,           0.0012636,             0.91666,             0.83414,             0.90729,             0.53183,            0.048322,            0.063267,          0.00078111,             0.00472,             0.00472,             0.00472
                  82,            0.050909,            0.070359,           0.0013445,             0.90145,             0.84126,             0.91203,             0.54014,            0.047986,            0.062242,          0.00057454,            0.004654,            0.004654,            0.004654
                  83,            0.051511,            0.069766,           0.0011735,             0.91475,             0.84745,             0.91409,             0.53568,            0.048707,            0.063741,          0.00049138,            0.004588,            0.004588,            0.004588
                  84,            0.051087,            0.071879,            0.001098,             0.91382,             0.85952,             0.90984,             0.51845,            0.049244,            0.063458,          0.00054053,            0.004522,            0.004522,            0.004522
                  85,            0.050207,            0.070017,           0.0012371,             0.92389,             0.84053,             0.90399,             0.52604,             0.04869,            0.062697,          0.00061498,            0.004456,            0.004456,            0.004456
                  86,            0.050432,             0.06909,          0.00088245,             0.90761,             0.85711,             0.91114,             0.53549,            0.047795,            0.061916,          0.00049772,             0.00439,             0.00439,             0.00439
                  87,            0.050515,            0.067926,           0.0010279,             0.91526,              0.8238,             0.90125,             0.53358,            0.048327,            0.064092,          0.00051607,            0.004324,            0.004324,            0.004324
                  88,            0.050681,            0.073365,           0.0010205,             0.92664,             0.84599,             0.91483,             0.53966,            0.048005,            0.061256,          0.00051173,            0.004258,            0.004258,            0.004258
                  89,             0.05113,            0.074128,           0.0010455,             0.92579,             0.83051,             0.91417,             0.54214,            0.047789,            0.061056,          0.00052093,            0.004192,            0.004192,            0.004192
                  90,            0.050049,            0.069062,           0.0010296,             0.90183,             0.82782,             0.90274,             0.52696,            0.047973,            0.063497,          0.00054872,            0.004126,            0.004126,            0.004126
                  91,            0.050026,            0.069859,          0.00084903,             0.90971,             0.84069,             0.91009,             0.53896,            0.047685,            0.061306,          0.00049866,             0.00406,             0.00406,             0.00406
                  92,            0.049291,            0.071661,          0.00089583,             0.91901,             0.83953,             0.91041,             0.53755,            0.048184,            0.063494,          0.00046902,            0.003994,            0.003994,            0.003994
                  93,            0.050252,             0.07072,            0.001091,             0.91366,             0.86381,             0.92191,             0.54309,             0.04757,             0.06087,          0.00048462,            0.003928,            0.003928,            0.003928
                  94,            0.049296,             0.06711,          0.00095524,             0.92442,             0.84433,             0.91829,             0.53921,            0.047686,            0.061539,          0.00050843,            0.003862,            0.003862,            0.003862
                  95,             0.04983,            0.068275,          0.00095814,             0.92944,             0.85532,              0.9194,             0.54674,            0.047571,            0.060893,          0.00045372,            0.003796,            0.003796,            0.003796
                  96,            0.048983,            0.065056,           0.0009317,             0.91567,             0.86548,             0.91988,              0.5474,            0.047535,            0.059536,          0.00039918,             0.00373,             0.00373,             0.00373
                  97,            0.048988,            0.067576,          0.00085046,             0.92023,             0.83696,             0.90438,             0.53357,            0.048073,            0.062883,          0.00039828,            0.003664,            0.003664,            0.003664
                  98,            0.048417,            0.064659,          0.00090535,             0.91752,             0.84072,             0.90957,              0.5391,            0.047716,            0.061945,          0.00039417,            0.003598,            0.003598,            0.003598
                  99,            0.049247,             0.07056,          0.00097917,             0.90314,             0.84091,             0.90811,              0.5455,            0.047572,            0.061045,          0.00057561,            0.003532,            0.003532,            0.003532
                 100,            0.049176,            0.068004,          0.00081409,             0.92254,             0.86606,             0.91645,             0.54886,            0.047435,             0.06062,          0.00060012,            0.003466,            0.003466,            0.003466
                 101,            0.048551,            0.067295,          0.00096458,             0.91969,             0.85208,             0.91588,             0.55069,            0.047314,            0.061883,          0.00054415,              0.0034,              0.0034,              0.0034
                 102,            0.048633,            0.066206,          0.00074545,             0.91934,             0.86103,             0.92132,             0.55007,            0.047411,            0.060761,          0.00048301,            0.003334,            0.003334,            0.003334
                 103,            0.048609,            0.067244,          0.00071396,             0.92073,             0.84976,             0.91439,             0.54553,            0.047327,            0.061295,          0.00048037,            0.003268,            0.003268,            0.003268
                 104,            0.048044,            0.065986,          0.00087623,              0.9176,             0.86143,             0.91566,              0.5492,            0.047374,            0.060928,          0.00045701,            0.003202,            0.003202,            0.003202
                 105,            0.048152,            0.063512,          0.00086434,             0.92759,             0.83862,             0.91076,             0.54948,            0.047572,            0.063386,           0.0005213,            0.003136,            0.003136,            0.003136
                 106,            0.048157,             0.06577,          0.00079087,             0.92567,             0.84453,             0.91262,             0.54776,             0.04768,            0.063204,          0.00063212,             0.00307,             0.00307,             0.00307
                 107,            0.048451,            0.069632,           0.0007457,             0.91954,             0.84683,             0.91741,             0.54955,            0.047434,            0.062344,          0.00051648,            0.003004,            0.003004,            0.003004
                 108,            0.048402,             0.06288,          0.00081207,             0.92868,             0.86105,             0.92675,             0.54662,            0.047156,            0.060347,          0.00039181,            0.002938,            0.002938,            0.002938
                 109,            0.048474,            0.068048,          0.00063121,             0.93483,             0.86472,             0.92775,             0.55393,            0.047286,            0.060019,          0.00039057,            0.002872,            0.002872,            0.002872
                 110,            0.047816,            0.063343,          0.00083495,             0.93356,             0.85741,             0.92197,             0.55455,            0.047336,            0.063227,          0.00042119,            0.002806,            0.002806,            0.002806
                 111,            0.047445,            0.063206,          0.00071422,             0.93267,             0.86209,             0.93038,             0.56031,            0.046885,            0.059433,          0.00042235,             0.00274,             0.00274,             0.00274
                 112,            0.048203,            0.067177,          0.00081333,             0.93294,             0.89007,             0.93357,             0.56269,            0.046517,            0.058402,          0.00040389,            0.002674,            0.002674,            0.002674
                 113,            0.047548,            0.064606,          0.00072788,             0.93434,             0.88685,             0.93243,             0.56036,            0.046474,            0.058882,            0.000336,            0.002608,            0.002608,            0.002608
                 114,             0.04816,            0.063055,          0.00064085,             0.93655,             0.87666,             0.92679,             0.55918,             0.04662,            0.059014,          0.00028926,            0.002542,            0.002542,            0.002542
                 115,            0.048042,            0.064522,          0.00055155,             0.94286,             0.87671,             0.92695,             0.56113,            0.046833,            0.059752,          0.00033156,            0.002476,            0.002476,            0.002476
                 116,            0.047358,            0.065179,           0.0007165,             0.93087,             0.87752,             0.92671,             0.56274,            0.046849,            0.060768,          0.00030222,             0.00241,             0.00241,             0.00241
                 117,            0.046582,            0.060858,          0.00079211,             0.92407,             0.87738,             0.93074,              0.5668,             0.04664,            0.058855,          0.00030516,            0.002344,            0.002344,            0.002344
                 118,            0.048159,            0.065827,           0.0006518,             0.92977,             0.87398,             0.93094,             0.56031,             0.04668,            0.058867,           0.0003035,            0.002278,            0.002278,            0.002278
                 119,            0.046443,             0.06122,          0.00065852,             0.92717,             0.86122,             0.92388,             0.56044,            0.046475,            0.059453,          0.00032452,            0.002212,            0.002212,            0.002212
                 120,            0.047188,            0.065424,          0.00066107,             0.93181,             0.87999,             0.93148,             0.56843,            0.046439,            0.058107,          0.00032854,            0.002146,            0.002146,            0.002146
